w_static.py:2022-04-29 14:39:08,791:----------start-of-run----------
data_utils.py:2022-04-29 14:39:15,268:# all trajectories: 24694
trainer_bp.py:2022-04-29 14:39:22,670:Using 18520 instances for training
trainer_bp.py:2022-04-29 14:39:22,671:Using 6174 instances for validation
trainer_bp.py:2022-04-29 14:39:23,368:Epoch:  1
trainer_bp.py:2022-04-29 16:08:01,264:Iteration: 900, val loss 0.0013958460900405443
trainer_bp.py:2022-04-29 16:11:04,244:Iteration: 1000, Meta Train Loss 0.0011006882518639373
trainer_bp.py:2022-04-29 16:11:16,390:Iteration: 1000, val loss 0.0014484955509149583
trainer_bp.py:2022-04-29 16:14:19,043:Iteration: 1100, Meta Train Loss 0.0012113620235817432
trainer_bp.py:2022-04-29 16:14:31,201:Iteration: 1100, val loss 0.0014106247021544028
trainer_bp.py:2022-04-29 16:17:33,263:Iteration: 1200, Meta Train Loss 0.0010816153232538757
trainer_bp.py:2022-04-29 16:17:45,439:Iteration: 1200, val loss 0.0014113988744163866
trainer_bp.py:2022-04-29 16:20:47,747:Iteration: 1300, Meta Train Loss 0.0006708298129483373
trainer_bp.py:2022-04-29 16:20:59,926:Iteration: 1300, val loss 0.0014098710862920788
trainer_bp.py:2022-04-29 16:24:04,599:Iteration: 1400, Meta Train Loss 0.000639731265655587
trainer_bp.py:2022-04-29 16:24:16,914:Iteration: 1400, val loss 0.0014056906269108791
trainer_bp.py:2022-04-29 16:27:19,753:Iteration: 1500, Meta Train Loss 0.001024123125955998
trainer_bp.py:2022-04-29 16:27:31,941:Iteration: 1500, val loss 0.0014294293894184234
trainer_bp.py:2022-04-29 16:30:35,621:Iteration: 1600, Meta Train Loss 0.0010666556166170514
trainer_bp.py:2022-04-29 16:30:47,857:Iteration: 1600, val loss 0.0014050418675731746
trainer_bp.py:2022-04-29 16:33:50,583:Iteration: 1700, Meta Train Loss 0.0008166118951425614
trainer_bp.py:2022-04-29 16:34:02,933:Iteration: 1700, val loss 0.0014119928277271563
trainer_bp.py:2022-04-29 16:37:06,094:Iteration: 1800, Meta Train Loss 0.0009747828554092274
trainer_bp.py:2022-04-29 16:37:18,387:Iteration: 1800, val loss 0.001502952372128925
trainer_bp.py:2022-04-29 16:38:51,395:Epoch:  3
trainer_bp.py:2022-04-29 16:38:53,236:Iteration: 0, Meta Train Loss 0.0009230711600809664
trainer_bp.py:2022-04-29 16:39:05,664:Iteration: 0, val loss 0.0013947457740349355
trainer_bp.py:2022-04-29 16:42:08,103:Iteration: 100, Meta Train Loss 0.0007634540329049433
trainer_bp.py:2022-04-29 16:42:20,300:Iteration: 100, val loss 0.0014002067125915944
trainer_bp.py:2022-04-29 16:45:22,465:Iteration: 200, Meta Train Loss 0.0005134260224007604
trainer_bp.py:2022-04-29 16:45:34,696:Iteration: 200, val loss 0.0014950665054311448
trainer_bp.py:2022-04-29 16:48:36,945:Iteration: 300, Meta Train Loss 0.0009887992087438864
trainer_bp.py:2022-04-29 16:48:49,569:Iteration: 300, val loss 0.0014213248332165546
trainer_bp.py:2022-04-29 16:51:51,828:Iteration: 400, Meta Train Loss 0.0011382902450629334
trainer_bp.py:2022-04-29 16:52:03,992:Iteration: 400, val loss 0.001427218072366414
trainer_bp.py:2022-04-29 16:55:07,144:Iteration: 500, Meta Train Loss 0.0007078709589685265
trainer_bp.py:2022-04-29 16:55:19,281:Iteration: 500, val loss 0.0014192679553691545
trainer_bp.py:2022-04-29 16:58:21,133:Iteration: 600, Meta Train Loss 0.0006517391864393744
trainer_bp.py:2022-04-29 16:58:33,295:Iteration: 600, val loss 0.0014130214620312106
trainer_bp.py:2022-04-29 17:01:38,238:Iteration: 700, Meta Train Loss 0.0009617125080605516
trainer_bp.py:2022-04-29 17:01:50,402:Iteration: 700, val loss 0.001394288519691647
trainer_bp.py:2022-04-29 17:04:57,563:Iteration: 800, Meta Train Loss 0.0010618208791865293
trainer_bp.py:2022-04-29 17:05:10,657:Iteration: 800, val loss 0.0014292421007151075
trainer_bp.py:2022-04-29 17:08:17,115:Iteration: 900, Meta Train Loss 0.000612288686549901
trainer_bp.py:2022-04-29 17:08:29,299:Iteration: 900, val loss 0.001404444956881476
trainer_bp.py:2022-04-29 17:11:33,176:Iteration: 1000, Meta Train Loss 0.0007292426405056372
trainer_bp.py:2022-04-29 17:11:45,582:Iteration: 1000, val loss 0.0014008990946637807
trainer_bp.py:2022-04-29 17:14:50,121:Iteration: 1100, Meta Train Loss 0.0008658120051485316
trainer_bp.py:2022-04-29 17:15:02,549:Iteration: 1100, val loss 0.0014427298816848246
trainer_bp.py:2022-04-29 17:18:06,185:Iteration: 1200, Meta Train Loss 0.0014304742904520506
trainer_bp.py:2022-04-29 17:18:18,601:Iteration: 1200, val loss 0.0013663686632451784
trainer_bp.py:2022-04-29 17:21:20,459:Iteration: 1300, Meta Train Loss 0.0007503396729190664
trainer_bp.py:2022-04-29 17:21:32,626:Iteration: 1300, val loss 0.0014065705849619374
trainer_bp.py:2022-04-29 17:24:32,466:Iteration: 1400, Meta Train Loss 0.0008862247637129296
trainer_bp.py:2022-04-29 17:24:44,773:Iteration: 1400, val loss 0.0013822038501956004
trainer_bp.py:2022-04-29 17:27:41,072:Iteration: 1500, Meta Train Loss 0.0006200999937908904
trainer_bp.py:2022-04-29 17:27:53,754:Iteration: 1500, val loss 0.001405539074759938
trainer_bp.py:2022-04-29 17:30:52,909:Iteration: 1600, Meta Train Loss 0.0011185322563599207
trainer_bp.py:2022-04-29 17:31:05,039:Iteration: 1600, val loss 0.0013739298566835324
trainer_bp.py:2022-04-29 17:34:04,672:Iteration: 1700, Meta Train Loss 0.0019073849449106177
trainer_bp.py:2022-04-29 17:34:16,824:Iteration: 1700, val loss 0.001632879663480673
trainer_bp.py:2022-04-29 17:37:12,123:Iteration: 1800, Meta Train Loss 0.001014899367036051
trainer_bp.py:2022-04-29 17:37:24,237:Iteration: 1800, val loss 0.0014427448495948382
trainer_bp.py:2022-04-29 17:38:52,743:Epoch:  4
trainer_bp.py:2022-04-29 17:38:52,744:saving model for the first time!
trainer_bp.py:2022-04-29 17:38:54,497:Iteration: 0, Meta Train Loss 0.0005589838342860707
trainer_bp.py:2022-04-29 17:39:06,748:Iteration: 0, val loss 0.0013996573575630643
trainer_bp.py:2022-04-29 17:42:01,474:Iteration: 100, Meta Train Loss 0.001138905572845609
trainer_bp.py:2022-04-29 17:42:13,606:Iteration: 100, val loss 0.001668965886008067
trainer_bp.py:2022-04-29 17:45:14,881:Iteration: 200, Meta Train Loss 0.0009838856338606394
trainer_bp.py:2022-04-29 17:45:27,466:Iteration: 200, val loss 0.0013935293910919877
trainer_bp.py:2022-04-29 17:48:23,014:Iteration: 300, Meta Train Loss 0.0009429587318515233
trainer_bp.py:2022-04-29 17:48:35,104:Iteration: 300, val loss 0.0013974987410163167
trainer_bp.py:2022-04-29 17:51:31,349:Iteration: 400, Meta Train Loss 0.0008433996785426123
trainer_bp.py:2022-04-29 17:51:43,422:Iteration: 400, val loss 0.0013835573672438231
trainer_bp.py:2022-04-29 17:54:39,161:Iteration: 500, Meta Train Loss 0.0007932750480416335
trainer_bp.py:2022-04-29 17:54:51,296:Iteration: 500, val loss 0.0014321739451163113
trainer_bp.py:2022-04-29 17:57:47,135:Iteration: 600, Meta Train Loss 0.0009999975279545964
trainer_bp.py:2022-04-29 17:57:59,210:Iteration: 600, val loss 0.0014117161376409973
trainer_bp.py:2022-04-29 18:00:55,824:Iteration: 700, Meta Train Loss 0.00104644565830411
trainer_bp.py:2022-04-29 18:01:07,957:Iteration: 700, val loss 0.0014264954837843488
trainer_bp.py:2022-04-29 18:04:03,393:Iteration: 800, Meta Train Loss 0.0011275112576701301
trainer_bp.py:2022-04-29 18:04:15,561:Iteration: 800, val loss 0.001389478372256442
trainer_bp.py:2022-04-29 18:07:10,296:Iteration: 900, Meta Train Loss 0.0014399005436745973
trainer_bp.py:2022-04-29 18:07:22,329:Iteration: 900, val loss 0.001387593086739134
trainer_bp.py:2022-04-29 18:10:18,301:Iteration: 1000, Meta Train Loss 0.0013531898107916925
trainer_bp.py:2022-04-29 18:10:30,404:Iteration: 1000, val loss 0.0013909571146806768
trainer_bp.py:2022-04-29 18:13:29,503:Iteration: 1100, Meta Train Loss 0.0010328374952626883
trainer_bp.py:2022-04-29 18:13:41,571:Iteration: 1100, val loss 0.0014475961916973678
trainer_bp.py:2022-04-29 18:16:37,292:Iteration: 1200, Meta Train Loss 0.004724892858232664
trainer_bp.py:2022-04-29 18:16:49,421:Iteration: 1200, val loss 0.0014027683982307739
trainer_bp.py:2022-04-29 18:19:45,041:Iteration: 1300, Meta Train Loss 0.0009044043108048522
trainer_bp.py:2022-04-29 18:19:57,178:Iteration: 1300, val loss 0.001397341431873389
trainer_bp.py:2022-04-29 18:22:57,189:Iteration: 1400, Meta Train Loss 0.0008433141366424768
trainer_bp.py:2022-04-29 18:23:09,378:Iteration: 1400, val loss 0.0013680788005009951
trainer_bp.py:2022-04-29 18:26:05,369:Iteration: 1500, Meta Train Loss 0.0007919656721243865
trainer_bp.py:2022-04-29 18:26:17,502:Iteration: 1500, val loss 0.0013729646596313276
trainer_bp.py:2022-04-29 18:29:11,092:Iteration: 1600, Meta Train Loss 0.0006702681496836132
trainer_bp.py:2022-04-29 18:29:23,244:Iteration: 1600, val loss 0.0014432871939436872
trainer_bp.py:2022-04-29 18:32:20,549:Iteration: 1700, Meta Train Loss 0.0005498257605147725
trainer_bp.py:2022-04-29 18:32:32,780:Iteration: 1700, val loss 0.001390883371622815
trainer_bp.py:2022-04-29 18:35:28,827:Iteration: 1800, Meta Train Loss 0.0010362922885743988
trainer_bp.py:2022-04-29 18:35:40,961:Iteration: 1800, val loss 0.0015084777074002877
trainer_bp.py:2022-04-29 18:37:09,850:Epoch:  5
trainer_bp.py:2022-04-29 18:37:11,623:Iteration: 0, Meta Train Loss 0.000867846145675651
trainer_bp.py:2022-04-29 18:37:24,279:Iteration: 0, val loss 0.0015427764237051084
trainer_bp.py:2022-04-29 18:40:23,029:Iteration: 100, Meta Train Loss 0.0007132849881710599
trainer_bp.py:2022-04-29 18:40:35,271:Iteration: 100, val loss 0.0014317665956694121
trainer_bp.py:2022-04-29 18:43:30,833:Iteration: 200, Meta Train Loss 0.0012240000575679429
trainer_bp.py:2022-04-29 18:43:42,977:Iteration: 200, val loss 0.0014520979808961586
trainer_bp.py:2022-04-29 18:46:40,854:Iteration: 300, Meta Train Loss 0.0005401495788894918
trainer_bp.py:2022-04-29 18:46:52,980:Iteration: 300, val loss 0.0014656508778587904
trainer_bp.py:2022-04-29 18:49:49,927:Iteration: 400, Meta Train Loss 0.0021621828983776838
trainer_bp.py:2022-04-29 18:50:02,041:Iteration: 400, val loss 0.0014322813263244886
trainer_bp.py:2022-04-29 18:53:10,570:Iteration: 500, Meta Train Loss 0.0007431095819130987
trainer_bp.py:2022-04-29 18:53:23,532:Iteration: 500, val loss 0.001422998015036295
trainer_bp.py:2022-04-29 18:56:20,083:Iteration: 600, Meta Train Loss 0.001506522525622024
trainer_bp.py:2022-04-29 18:56:32,275:Iteration: 600, val loss 0.0014726492904744489
trainer_bp.py:2022-04-29 18:59:26,774:Iteration: 700, Meta Train Loss 0.003280536507313209
trainer_bp.py:2022-04-29 18:59:38,998:Iteration: 700, val loss 0.0014160464481947617
trainer_bp.py:2022-04-29 19:02:32,087:Iteration: 800, Meta Train Loss 0.000748100255277587
trainer_bp.py:2022-04-29 19:02:44,292:Iteration: 800, val loss 0.0014426444627121354
trainer_bp.py:2022-04-29 19:05:39,500:Iteration: 900, Meta Train Loss 0.0012031430212181293
trainer_bp.py:2022-04-29 19:05:51,670:Iteration: 900, val loss 0.0013716426151606982
trainer_bp.py:2022-04-29 19:08:45,977:Iteration: 1000, Meta Train Loss 0.0018622756562802812
trainer_bp.py:2022-04-29 19:08:58,207:Iteration: 1000, val loss 0.0015633196892296647
trainer_bp.py:2022-04-29 19:11:52,634:Iteration: 1100, Meta Train Loss 0.0009640168223572563
trainer_bp.py:2022-04-29 19:12:04,803:Iteration: 1100, val loss 0.0016631842626563728
trainer_bp.py:2022-04-29 19:14:59,253:Iteration: 1200, Meta Train Loss 0.0019029136228974706
trainer_bp.py:2022-04-29 19:15:11,345:Iteration: 1200, val loss 0.0013756138357284924
trainer_bp.py:2022-04-29 19:18:05,572:Iteration: 1300, Meta Train Loss 0.001129416012694969
trainer_bp.py:2022-04-29 19:18:17,752:Iteration: 1300, val loss 0.0013954467761133152
trainer_bp.py:2022-04-29 19:21:11,417:Iteration: 1400, Meta Train Loss 0.001245557869027848
trainer_bp.py:2022-04-29 19:21:23,561:Iteration: 1400, val loss 0.0014432509531986765
trainer_bp.py:2022-04-29 19:24:17,100:Iteration: 1500, Meta Train Loss 0.000873201716588417
trainer_bp.py:2022-04-29 19:24:29,228:Iteration: 1500, val loss 0.0015440208710916124
trainer_bp.py:2022-04-29 19:27:24,737:Iteration: 1600, Meta Train Loss 0.0005561990022229434
trainer_bp.py:2022-04-29 19:27:36,905:Iteration: 1600, val loss 0.0014437055376119155
trainer_bp.py:2022-04-29 19:30:30,319:Iteration: 1700, Meta Train Loss 0.001172334604210955
trainer_bp.py:2022-04-29 19:30:42,452:Iteration: 1700, val loss 0.0014059379541190083
trainer_bp.py:2022-04-29 19:33:36,126:Iteration: 1800, Meta Train Loss 0.0007626199698586043
trainer_bp.py:2022-04-29 19:33:48,369:Iteration: 1800, val loss 0.0014048911004101525
trainer_bp.py:2022-04-29 19:35:17,912:Epoch:  6
trainer_bp.py:2022-04-29 19:35:19,660:Iteration: 0, Meta Train Loss 0.0004780816752879508
trainer_bp.py:2022-04-29 19:35:31,865:Iteration: 0, val loss 0.0013897907173946648
trainer_bp.py:2022-04-29 19:38:25,977:Iteration: 100, Meta Train Loss 0.0010511413884590796
trainer_bp.py:2022-04-29 19:38:38,138:Iteration: 100, val loss 0.0015212614007922265
trainer_bp.py:2022-04-29 19:41:32,805:Iteration: 200, Meta Train Loss 0.0006878114919937202
trainer_bp.py:2022-04-29 19:41:45,032:Iteration: 200, val loss 0.0016131851035961521
trainer_bp.py:2022-04-29 19:44:39,301:Iteration: 300, Meta Train Loss 0.0013956155531706573
trainer_bp.py:2022-04-29 19:44:51,953:Iteration: 300, val loss 0.001402041693422815
trainer_bp.py:2022-04-29 19:47:47,431:Iteration: 400, Meta Train Loss 0.00048795470932231884
trainer_bp.py:2022-04-29 19:47:59,577:Iteration: 400, val loss 0.0013967848090764461
trainer_bp.py:2022-04-29 19:50:54,125:Iteration: 500, Meta Train Loss 0.0008987507707668348
trainer_bp.py:2022-04-29 19:51:06,153:Iteration: 500, val loss 0.0016468697339528987
trainer_bp.py:2022-04-29 19:54:05,334:Iteration: 600, Meta Train Loss 0.000803896700106649
trainer_bp.py:2022-04-29 19:54:17,481:Iteration: 600, val loss 0.001449171791866012
trainer_bp.py:2022-04-29 19:57:12,789:Iteration: 700, Meta Train Loss 0.000704318369126149
trainer_bp.py:2022-04-29 19:57:25,053:Iteration: 700, val loss 0.001387616609979728
trainer_bp.py:2022-04-29 20:00:19,899:Iteration: 800, Meta Train Loss 0.001039845684236531
trainer_bp.py:2022-04-29 20:00:32,505:Iteration: 800, val loss 0.001372932942037672
trainer_bp.py:2022-04-29 20:03:26,091:Iteration: 900, Meta Train Loss 0.0006995389911495366
trainer_bp.py:2022-04-29 20:03:38,286:Iteration: 900, val loss 0.0014728806290463716
trainer_bp.py:2022-04-29 20:06:33,303:Iteration: 1000, Meta Train Loss 0.000672042871156509
trainer_bp.py:2022-04-29 20:06:45,428:Iteration: 1000, val loss 0.001537967117106886
trainer_bp.py:2022-04-29 20:09:39,402:Iteration: 1100, Meta Train Loss 0.0005701908455979299
trainer_bp.py:2022-04-29 20:09:51,578:Iteration: 1100, val loss 0.0013821183562821799
trainer_bp.py:2022-04-29 20:12:45,906:Iteration: 1200, Meta Train Loss 0.0011147740066666158
trainer_bp.py:2022-04-29 20:12:58,079:Iteration: 1200, val loss 0.0013985035099541281
trainer_bp.py:2022-04-29 20:15:51,746:Iteration: 1300, Meta Train Loss 0.0009308967527250155
trainer_bp.py:2022-04-29 20:16:04,039:Iteration: 1300, val loss 0.0013816077672775863
trainer_bp.py:2022-04-29 20:19:00,429:Iteration: 1400, Meta Train Loss 0.0009951680073487965
trainer_bp.py:2022-04-29 20:19:12,637:Iteration: 1400, val loss 0.0014382677242709234
trainer_bp.py:2022-04-29 20:22:11,421:Iteration: 1500, Meta Train Loss 0.0007672881555843832
trainer_bp.py:2022-04-29 20:22:23,592:Iteration: 1500, val loss 0.001437035656971271
trainer_bp.py:2022-04-29 20:25:23,565:Iteration: 1600, Meta Train Loss 0.0008305041027452458
trainer_bp.py:2022-04-29 20:25:35,835:Iteration: 1600, val loss 0.00144196187128038
trainer_bp.py:2022-04-29 20:28:36,213:Iteration: 1700, Meta Train Loss 0.0007446575871442568
trainer_bp.py:2022-04-29 20:28:48,536:Iteration: 1700, val loss 0.0014481441978645663
trainer_bp.py:2022-04-29 20:31:50,292:Iteration: 1800, Meta Train Loss 0.0009040844126785767
trainer_bp.py:2022-04-29 20:32:02,538:Iteration: 1800, val loss 0.0014358898637165665
trainer_bp.py:2022-04-29 20:33:35,256:Epoch:  7
trainer_bp.py:2022-04-29 20:33:35,258:Loss improved, saving model and setting loss
trainer_bp.py:2022-04-29 20:33:37,071:Iteration: 0, Meta Train Loss 0.0009278897967000152
trainer_bp.py:2022-04-29 20:33:49,128:Iteration: 0, val loss 0.001439192603389848
trainer_bp.py:2022-04-29 20:36:50,200:Iteration: 100, Meta Train Loss 0.0011220123147805284
trainer_bp.py:2022-04-29 20:37:02,401:Iteration: 100, val loss 0.0014245494185960463
trainer_bp.py:2022-04-29 20:40:03,400:Iteration: 200, Meta Train Loss 0.0026029947297988203
trainer_bp.py:2022-04-29 20:40:15,527:Iteration: 200, val loss 0.0014034467949994665
trainer_bp.py:2022-04-29 20:43:11,128:Iteration: 300, Meta Train Loss 0.0006643253862454722
trainer_bp.py:2022-04-29 20:43:23,301:Iteration: 300, val loss 0.0014044121183814037
trainer_bp.py:2022-04-29 20:46:19,730:Iteration: 400, Meta Train Loss 0.0003685143504617858
trainer_bp.py:2022-04-29 20:46:31,817:Iteration: 400, val loss 0.0014180642348443774
trainer_bp.py:2022-04-29 20:49:30,795:Iteration: 500, Meta Train Loss 0.0008621445595120415
trainer_bp.py:2022-04-29 20:49:42,970:Iteration: 500, val loss 0.001592440795379064
trainer_bp.py:2022-04-29 20:52:46,268:Iteration: 600, Meta Train Loss 0.0015780726209975303
trainer_bp.py:2022-04-29 20:52:58,960:Iteration: 600, val loss 0.0014162404482075985
trainer_bp.py:2022-04-29 20:56:00,443:Iteration: 700, Meta Train Loss 0.0007994792209217602
trainer_bp.py:2022-04-29 20:56:12,654:Iteration: 700, val loss 0.0014563158066567847
trainer_bp.py:2022-04-29 20:59:08,964:Iteration: 800, Meta Train Loss 0.0008751207776854799
trainer_bp.py:2022-04-29 20:59:21,137:Iteration: 800, val loss 0.0015974539958485505
trainer_bp.py:2022-04-29 21:02:16,232:Iteration: 900, Meta Train Loss 0.0006878963883825634
trainer_bp.py:2022-04-29 21:02:28,300:Iteration: 900, val loss 0.001453815061498744
trainer_bp.py:2022-04-29 21:05:28,413:Iteration: 1000, Meta Train Loss 0.0010612195960323044
trainer_bp.py:2022-04-29 21:05:40,533:Iteration: 1000, val loss 0.001586029948828891
trainer_bp.py:2022-04-29 21:08:46,747:Iteration: 1100, Meta Train Loss 0.0009708529659661559
trainer_bp.py:2022-04-29 21:08:58,973:Iteration: 1100, val loss 0.0014140639276241688
trainer_bp.py:2022-04-29 21:11:59,799:Iteration: 1200, Meta Train Loss 0.0008352509532201579
trainer_bp.py:2022-04-29 21:12:11,929:Iteration: 1200, val loss 0.0015586359805378777
trainer_bp.py:2022-04-29 21:15:06,121:Iteration: 1300, Meta Train Loss 0.003243116843114953
trainer_bp.py:2022-04-29 21:15:18,302:Iteration: 1300, val loss 0.0014665207064214186
trainer_bp.py:2022-04-29 21:18:11,631:Iteration: 1400, Meta Train Loss 0.0004727827925837946
trainer_bp.py:2022-04-29 21:18:23,773:Iteration: 1400, val loss 0.0014885645432846195
trainer_bp.py:2022-04-29 21:21:17,899:Iteration: 1500, Meta Train Loss 0.0014268668155464346
trainer_bp.py:2022-04-29 21:21:30,038:Iteration: 1500, val loss 0.0015679264526979985
trainer_bp.py:2022-04-29 21:24:26,336:Iteration: 1600, Meta Train Loss 0.0009403781067389492
trainer_bp.py:2022-04-29 21:24:38,591:Iteration: 1600, val loss 0.0014132600983426085
trainer_bp.py:2022-04-29 21:27:31,393:Iteration: 1700, Meta Train Loss 0.001209765053174418
trainer_bp.py:2022-04-29 21:27:43,570:Iteration: 1700, val loss 0.0014244713054188205
trainer_bp.py:2022-04-29 21:30:37,137:Iteration: 1800, Meta Train Loss 0.0007279355609101337
trainer_bp.py:2022-04-29 21:30:49,301:Iteration: 1800, val loss 0.0015110896794405958
trainer_bp.py:2022-04-29 21:32:18,673:Epoch:  8
trainer_bp.py:2022-04-29 21:32:20,420:Iteration: 0, Meta Train Loss 0.0007910637159958108
trainer_bp.py:2022-04-29 21:32:32,590:Iteration: 0, val loss 0.0013897421322163765
trainer_bp.py:2022-04-29 21:35:26,766:Iteration: 100, Meta Train Loss 0.0008972611201573549
trainer_bp.py:2022-04-29 21:35:38,987:Iteration: 100, val loss 0.0016075693996673174
trainer_bp.py:2022-04-29 21:38:32,902:Iteration: 200, Meta Train Loss 0.0008587304647194339
trainer_bp.py:2022-04-29 21:38:45,101:Iteration: 200, val loss 0.0014404329130654366
trainer_bp.py:2022-04-29 21:41:41,054:Iteration: 300, Meta Train Loss 0.0008823229267422849
trainer_bp.py:2022-04-29 21:41:53,168:Iteration: 300, val loss 0.0014200605157005126
