wo_static.py:2022-04-29 14:51:24,706:----------start-of-run----------
data_utils.py:2022-04-29 14:51:31,447:# all trajectories: 24694
trainer_bp.py:2022-04-29 14:51:38,807:Using 18520 instances for training
trainer_bp.py:2022-04-29 14:51:38,807:Using 6174 instances for validation
trainer_bp.py:2022-04-29 14:51:39,502:Epoch:  1
trainer_bp.py:2022-04-29 15:46:33,024:Iteration: 100, Meta Train Loss 0.0008557293420144094
trainer_bp.py:2022-04-29 15:46:42,650:Iteration: 100, val loss 0.0014627769351892538
trainer_bp.py:2022-04-29 15:49:23,146:Iteration: 200, Meta Train Loss 0.0009936323302898182
trainer_bp.py:2022-04-29 15:49:32,298:Iteration: 200, val loss 0.001474398571541249
trainer_bp.py:2022-04-29 15:52:14,150:Iteration: 300, Meta Train Loss 0.0009681980328922016
trainer_bp.py:2022-04-29 15:52:23,342:Iteration: 300, val loss 0.001456781314555542
trainer_bp.py:2022-04-29 15:55:03,441:Iteration: 400, Meta Train Loss 0.0014100745074921216
trainer_bp.py:2022-04-29 15:55:12,678:Iteration: 400, val loss 0.0014730891117902404
trainer_bp.py:2022-04-29 15:57:52,904:Iteration: 500, Meta Train Loss 0.0013461251350805632
trainer_bp.py:2022-04-29 15:58:02,046:Iteration: 500, val loss 0.0014613209889555137
trainer_bp.py:2022-04-29 16:00:43,060:Iteration: 600, Meta Train Loss 0.0006849141417379089
trainer_bp.py:2022-04-29 16:00:52,277:Iteration: 600, val loss 0.001455552675172613
trainer_bp.py:2022-04-29 16:03:46,369:Iteration: 700, Meta Train Loss 0.0011073055307235628
trainer_bp.py:2022-04-29 16:03:55,638:Iteration: 700, val loss 0.001575019387853265
trainer_bp.py:2022-04-29 16:06:45,367:Iteration: 800, Meta Train Loss 0.0010059941182054659
trainer_bp.py:2022-04-29 16:06:54,706:Iteration: 800, val loss 0.0014794417089684746
trainer_bp.py:2022-04-29 16:09:43,318:Iteration: 900, Meta Train Loss 0.000770005822576083
trainer_bp.py:2022-04-29 16:09:52,629:Iteration: 900, val loss 0.0014973327961363566
trainer_bp.py:2022-04-29 16:12:41,908:Iteration: 1000, Meta Train Loss 0.000995368348041242
trainer_bp.py:2022-04-29 16:12:51,120:Iteration: 1000, val loss 0.0014439429740826582
trainer_bp.py:2022-04-29 16:15:39,559:Iteration: 1100, Meta Train Loss 0.0013411134643043416
trainer_bp.py:2022-04-29 16:15:48,797:Iteration: 1100, val loss 0.001471931678799874
trainer_bp.py:2022-04-29 16:18:37,874:Iteration: 1200, Meta Train Loss 0.0008432370486401385
trainer_bp.py:2022-04-29 16:18:47,118:Iteration: 1200, val loss 0.0015016695803692576
trainer_bp.py:2022-04-29 16:21:36,967:Iteration: 1300, Meta Train Loss 0.0008935141735510343
trainer_bp.py:2022-04-29 16:21:46,238:Iteration: 1300, val loss 0.0014723064634619284
trainer_bp.py:2022-04-29 16:24:33,666:Iteration: 1400, Meta Train Loss 0.0009190918584125662
trainer_bp.py:2022-04-29 16:24:42,946:Iteration: 1400, val loss 0.0014824376983900108
trainer_bp.py:2022-04-29 16:27:30,914:Iteration: 1500, Meta Train Loss 0.001392030710166493
trainer_bp.py:2022-04-29 16:27:40,042:Iteration: 1500, val loss 0.001495704010280908
trainer_bp.py:2022-04-29 16:30:28,812:Iteration: 1600, Meta Train Loss 0.0010498495352804416
trainer_bp.py:2022-04-29 16:30:38,022:Iteration: 1600, val loss 0.0014876241883539114
trainer_bp.py:2022-04-29 16:33:25,549:Iteration: 1700, Meta Train Loss 0.0008751582288202269
trainer_bp.py:2022-04-29 16:33:34,762:Iteration: 1700, val loss 0.0014785588497870424
trainer_bp.py:2022-04-29 16:36:24,871:Iteration: 1800, Meta Train Loss 0.00045184709817602803
trainer_bp.py:2022-04-29 16:36:34,115:Iteration: 1800, val loss 0.0014622665094550845
trainer_bp.py:2022-04-29 16:38:00,791:Epoch:  3
trainer_bp.py:2022-04-29 16:38:02,488:Iteration: 0, Meta Train Loss 0.000528286343110419
trainer_bp.py:2022-04-29 16:38:11,762:Iteration: 0, val loss 0.0014602244380392808
trainer_bp.py:2022-04-29 16:40:59,769:Iteration: 100, Meta Train Loss 0.000681332469753893
trainer_bp.py:2022-04-29 16:41:08,979:Iteration: 100, val loss 0.0014272406058546958
trainer_bp.py:2022-04-29 16:43:56,854:Iteration: 200, Meta Train Loss 0.0016130882608101763
trainer_bp.py:2022-04-29 16:44:06,079:Iteration: 200, val loss 0.0014374207165917666
trainer_bp.py:2022-04-29 16:46:54,776:Iteration: 300, Meta Train Loss 0.00076795436367409
trainer_bp.py:2022-04-29 16:47:03,949:Iteration: 300, val loss 0.0014375591898439753
trainer_bp.py:2022-04-29 16:49:51,913:Iteration: 400, Meta Train Loss 0.0007635496281129336
trainer_bp.py:2022-04-29 16:50:01,081:Iteration: 400, val loss 0.0014457719131758919
trainer_bp.py:2022-04-29 16:52:50,072:Iteration: 500, Meta Train Loss 0.0011256215175953085
trainer_bp.py:2022-04-29 16:52:59,258:Iteration: 500, val loss 0.0014788606158012223
trainer_bp.py:2022-04-29 16:55:47,776:Iteration: 600, Meta Train Loss 0.0011751201876588633
trainer_bp.py:2022-04-29 16:55:57,034:Iteration: 600, val loss 0.0014534654479995816
trainer_bp.py:2022-04-29 16:58:46,591:Iteration: 700, Meta Train Loss 0.0011418021879855522
trainer_bp.py:2022-04-29 16:58:55,757:Iteration: 700, val loss 0.001442780252398401
trainer_bp.py:2022-04-29 17:01:48,472:Iteration: 800, Meta Train Loss 0.0005633166734122392
trainer_bp.py:2022-04-29 17:01:57,672:Iteration: 800, val loss 0.0014407988355587909
trainer_bp.py:2022-04-29 17:04:50,562:Iteration: 900, Meta Train Loss 0.0009994386339129216
trainer_bp.py:2022-04-29 17:04:59,728:Iteration: 900, val loss 0.001433972172981384
trainer_bp.py:2022-04-29 17:07:52,473:Iteration: 1000, Meta Train Loss 0.0009567440420901862
trainer_bp.py:2022-04-29 17:08:01,671:Iteration: 1000, val loss 0.0014362314756574842
trainer_bp.py:2022-04-29 17:10:52,017:Iteration: 1100, Meta Train Loss 0.0007825306821694505
trainer_bp.py:2022-04-29 17:11:01,263:Iteration: 1100, val loss 0.0015821472873266977
trainer_bp.py:2022-04-29 17:13:53,469:Iteration: 1200, Meta Train Loss 0.0009262288765064886
trainer_bp.py:2022-04-29 17:14:02,706:Iteration: 1200, val loss 0.0014299365368293305
trainer_bp.py:2022-04-29 17:16:54,111:Iteration: 1300, Meta Train Loss 0.0011973027219347246
trainer_bp.py:2022-04-29 17:17:03,310:Iteration: 1300, val loss 0.0014688182191798438
trainer_bp.py:2022-04-29 17:19:54,366:Iteration: 1400, Meta Train Loss 0.0009022040100767893
trainer_bp.py:2022-04-29 17:20:03,671:Iteration: 1400, val loss 0.0014329797756939924
trainer_bp.py:2022-04-29 17:22:53,658:Iteration: 1500, Meta Train Loss 0.0008490647374849646
trainer_bp.py:2022-04-29 17:23:02,944:Iteration: 1500, val loss 0.0014837203720818118
trainer_bp.py:2022-04-29 17:25:52,207:Iteration: 1600, Meta Train Loss 0.000943050170006677
trainer_bp.py:2022-04-29 17:26:01,447:Iteration: 1600, val loss 0.0013935831930748281
trainer_bp.py:2022-04-29 17:28:50,803:Iteration: 1700, Meta Train Loss 0.0008943728070958692
trainer_bp.py:2022-04-29 17:29:00,000:Iteration: 1700, val loss 0.0014258097581580865
trainer_bp.py:2022-04-29 17:31:49,684:Iteration: 1800, Meta Train Loss 0.0015849542550272792
trainer_bp.py:2022-04-29 17:31:58,944:Iteration: 1800, val loss 0.0014161724917200592
trainer_bp.py:2022-04-29 17:33:24,783:Epoch:  4
trainer_bp.py:2022-04-29 17:33:24,784:saving model for the first time!
trainer_bp.py:2022-04-29 17:33:26,482:Iteration: 0, Meta Train Loss 0.003501377285550931
trainer_bp.py:2022-04-29 17:33:35,660:Iteration: 0, val loss 0.0014368707681675832
trainer_bp.py:2022-04-29 17:36:24,690:Iteration: 100, Meta Train Loss 0.0007203748693937321
trainer_bp.py:2022-04-29 17:36:33,934:Iteration: 100, val loss 0.0014663318726574534
trainer_bp.py:2022-04-29 17:39:22,824:Iteration: 200, Meta Train Loss 0.003667791355512136
trainer_bp.py:2022-04-29 17:39:32,057:Iteration: 200, val loss 0.001445378754791334
trainer_bp.py:2022-04-29 17:42:20,322:Iteration: 300, Meta Train Loss 0.0009228697197778125
trainer_bp.py:2022-04-29 17:42:29,504:Iteration: 300, val loss 0.0015165528181468975
trainer_bp.py:2022-04-29 17:45:18,014:Iteration: 400, Meta Train Loss 0.001156351919715637
trainer_bp.py:2022-04-29 17:45:27,346:Iteration: 400, val loss 0.0014348250104850224
trainer_bp.py:2022-04-29 17:48:14,849:Iteration: 500, Meta Train Loss 0.000535713903588215
trainer_bp.py:2022-04-29 17:48:24,060:Iteration: 500, val loss 0.0014553363172796633
trainer_bp.py:2022-04-29 17:51:13,112:Iteration: 600, Meta Train Loss 0.0012764935940233941
trainer_bp.py:2022-04-29 17:51:22,381:Iteration: 600, val loss 0.00142130835397494
trainer_bp.py:2022-04-29 17:54:10,836:Iteration: 700, Meta Train Loss 0.0006207116381414222
trainer_bp.py:2022-04-29 17:54:20,102:Iteration: 700, val loss 0.0014280661367610191
trainer_bp.py:2022-04-29 17:57:08,378:Iteration: 800, Meta Train Loss 0.0011566244754541728
trainer_bp.py:2022-04-29 17:57:17,621:Iteration: 800, val loss 0.0014386641190073488
trainer_bp.py:2022-04-29 18:00:05,513:Iteration: 900, Meta Train Loss 0.0008666444758867343
trainer_bp.py:2022-04-29 18:00:14,666:Iteration: 900, val loss 0.001482939365335982
trainer_bp.py:2022-04-29 18:03:03,690:Iteration: 1000, Meta Train Loss 0.0008619726222746007
trainer_bp.py:2022-04-29 18:03:12,926:Iteration: 1000, val loss 0.0015547829373205797
trainer_bp.py:2022-04-29 18:06:00,716:Iteration: 1100, Meta Train Loss 0.0006386923815810974
trainer_bp.py:2022-04-29 18:06:09,966:Iteration: 1100, val loss 0.0014737062669456394
trainer_bp.py:2022-04-29 18:08:58,166:Iteration: 1200, Meta Train Loss 0.000822157423384969
trainer_bp.py:2022-04-29 18:09:07,902:Iteration: 1200, val loss 0.0014518566093259155
trainer_bp.py:2022-04-29 18:11:56,082:Iteration: 1300, Meta Train Loss 0.0007968792055038638
trainer_bp.py:2022-04-29 18:12:05,218:Iteration: 1300, val loss 0.0015972410756734192
trainer_bp.py:2022-04-29 18:14:55,241:Iteration: 1400, Meta Train Loss 0.0008229373412839123
trainer_bp.py:2022-04-29 18:15:04,522:Iteration: 1400, val loss 0.0014566602010850735
trainer_bp.py:2022-04-29 18:17:52,967:Iteration: 1500, Meta Train Loss 0.0011972285324279056
trainer_bp.py:2022-04-29 18:18:02,234:Iteration: 1500, val loss 0.0014760831935564092
trainer_bp.py:2022-04-29 18:20:50,206:Iteration: 1600, Meta Train Loss 0.0011597974819660128
trainer_bp.py:2022-04-29 18:20:59,373:Iteration: 1600, val loss 0.0014393822638119201
trainer_bp.py:2022-04-29 18:23:47,457:Iteration: 1700, Meta Train Loss 0.001024746761861241
trainer_bp.py:2022-04-29 18:23:56,754:Iteration: 1700, val loss 0.0016149626984719129
trainer_bp.py:2022-04-29 18:26:49,416:Iteration: 1800, Meta Train Loss 0.0009077052183639316
trainer_bp.py:2022-04-29 18:26:58,593:Iteration: 1800, val loss 0.0014942982070514118
trainer_bp.py:2022-04-29 18:28:27,288:Epoch:  5
trainer_bp.py:2022-04-29 18:28:28,998:Iteration: 0, Meta Train Loss 0.0017450802434932204
trainer_bp.py:2022-04-29 18:28:38,231:Iteration: 0, val loss 0.0014416407488727955
trainer_bp.py:2022-04-29 18:31:32,330:Iteration: 100, Meta Train Loss 0.0008549557037174924
trainer_bp.py:2022-04-29 18:31:42,032:Iteration: 100, val loss 0.0015016467981346935
trainer_bp.py:2022-04-29 18:34:35,448:Iteration: 200, Meta Train Loss 0.0010080271847574974
trainer_bp.py:2022-04-29 18:34:44,638:Iteration: 200, val loss 0.001439228874309227
trainer_bp.py:2022-04-29 18:37:38,013:Iteration: 300, Meta Train Loss 0.0010730723815807958
trainer_bp.py:2022-04-29 18:37:47,156:Iteration: 300, val loss 0.0014855020836136573
trainer_bp.py:2022-04-29 18:40:39,307:Iteration: 400, Meta Train Loss 0.0007950576744486233
trainer_bp.py:2022-04-29 18:40:48,552:Iteration: 400, val loss 0.0015969856151579276
trainer_bp.py:2022-04-29 18:43:40,694:Iteration: 500, Meta Train Loss 0.0008399449801670183
trainer_bp.py:2022-04-29 18:43:49,892:Iteration: 500, val loss 0.0014521798978755342
trainer_bp.py:2022-04-29 18:46:40,374:Iteration: 600, Meta Train Loss 0.0008259653987032644
trainer_bp.py:2022-04-29 18:46:49,566:Iteration: 600, val loss 0.001484512442864813
trainer_bp.py:2022-04-29 18:49:41,435:Iteration: 700, Meta Train Loss 0.0008529765653319211
trainer_bp.py:2022-04-29 18:49:50,729:Iteration: 700, val loss 0.0015128196111250068
trainer_bp.py:2022-04-29 18:52:41,903:Iteration: 800, Meta Train Loss 0.0006872239602467918
trainer_bp.py:2022-04-29 18:52:51,148:Iteration: 800, val loss 0.0014958812988474812
trainer_bp.py:2022-04-29 18:55:42,716:Iteration: 900, Meta Train Loss 0.000686845564813771
trainer_bp.py:2022-04-29 18:55:52,371:Iteration: 900, val loss 0.001507733006850631
trainer_bp.py:2022-04-29 18:58:44,195:Iteration: 1000, Meta Train Loss 0.0010320284456090244
trainer_bp.py:2022-04-29 18:58:53,470:Iteration: 1000, val loss 0.001690057375853283
trainer_bp.py:2022-04-29 19:01:41,650:Iteration: 1100, Meta Train Loss 0.0006715219839437197
trainer_bp.py:2022-04-29 19:01:50,914:Iteration: 1100, val loss 0.0014968139902207936
trainer_bp.py:2022-04-29 19:04:38,810:Iteration: 1200, Meta Train Loss 0.0011397126360069866
trainer_bp.py:2022-04-29 19:04:47,990:Iteration: 1200, val loss 0.00159585014679739
trainer_bp.py:2022-04-29 19:07:35,617:Iteration: 1300, Meta Train Loss 0.0010595994009536308
trainer_bp.py:2022-04-29 19:07:44,809:Iteration: 1300, val loss 0.0014775162500755728
trainer_bp.py:2022-04-29 19:10:33,669:Iteration: 1400, Meta Train Loss 0.00045726505605212203
trainer_bp.py:2022-04-29 19:10:42,900:Iteration: 1400, val loss 0.001459735298821255
trainer_bp.py:2022-04-29 19:13:30,550:Iteration: 1500, Meta Train Loss 0.001418524305644788
trainer_bp.py:2022-04-29 19:13:39,814:Iteration: 1500, val loss 0.0014499606583079823
trainer_bp.py:2022-04-29 19:16:26,529:Iteration: 1600, Meta Train Loss 0.0005693644705103334
trainer_bp.py:2022-04-29 19:16:35,798:Iteration: 1600, val loss 0.001434092376089444
trainer_bp.py:2022-04-29 19:19:23,231:Iteration: 1700, Meta Train Loss 0.001120364068838527
trainer_bp.py:2022-04-29 19:19:32,990:Iteration: 1700, val loss 0.00145830406500618
trainer_bp.py:2022-04-29 19:22:21,502:Iteration: 1800, Meta Train Loss 0.0004334402701863636
trainer_bp.py:2022-04-29 19:22:30,746:Iteration: 1800, val loss 0.0019370891333289572
trainer_bp.py:2022-04-29 19:23:56,536:Epoch:  6
trainer_bp.py:2022-04-29 19:23:58,235:Iteration: 0, Meta Train Loss 0.0007498803015573737
trainer_bp.py:2022-04-29 19:24:07,480:Iteration: 0, val loss 0.0014577676541647378
trainer_bp.py:2022-04-29 19:26:58,181:Iteration: 100, Meta Train Loss 0.000569320350907835
trainer_bp.py:2022-04-29 19:27:07,374:Iteration: 100, val loss 0.001446860078571128
trainer_bp.py:2022-04-29 19:30:00,602:Iteration: 200, Meta Train Loss 0.0006334678849356433
trainer_bp.py:2022-04-29 19:30:09,774:Iteration: 200, val loss 0.001696638089350387
trainer_bp.py:2022-04-29 19:33:01,296:Iteration: 300, Meta Train Loss 0.0008193062311881545
trainer_bp.py:2022-04-29 19:33:10,516:Iteration: 300, val loss 0.0018117399573532673
trainer_bp.py:2022-04-29 19:36:01,015:Iteration: 400, Meta Train Loss 0.00109964529316393
trainer_bp.py:2022-04-29 19:36:10,225:Iteration: 400, val loss 0.001655849975050112
trainer_bp.py:2022-04-29 19:39:03,954:Iteration: 500, Meta Train Loss 0.0008767173878615896
trainer_bp.py:2022-04-29 19:39:13,151:Iteration: 500, val loss 0.0014636472414588225
trainer_bp.py:2022-04-29 19:42:07,883:Iteration: 600, Meta Train Loss 0.0008106766991062352
trainer_bp.py:2022-04-29 19:42:17,514:Iteration: 600, val loss 0.0014742739240890777
trainer_bp.py:2022-04-29 19:45:05,184:Iteration: 700, Meta Train Loss 0.00046422696977470627
trainer_bp.py:2022-04-29 19:45:14,422:Iteration: 700, val loss 0.0016650523558425136
trainer_bp.py:2022-04-29 19:48:03,206:Iteration: 800, Meta Train Loss 0.0005798859108570294
trainer_bp.py:2022-04-29 19:48:12,467:Iteration: 800, val loss 0.0016688691014122678
trainer_bp.py:2022-04-29 19:51:01,002:Iteration: 900, Meta Train Loss 0.0012920333309004313
trainer_bp.py:2022-04-29 19:51:10,225:Iteration: 900, val loss 0.0014635242137895628
trainer_bp.py:2022-04-29 19:53:58,560:Iteration: 1000, Meta Train Loss 0.0009084405645760938
trainer_bp.py:2022-04-29 19:54:07,775:Iteration: 1000, val loss 0.0017117698904106323
trainer_bp.py:2022-04-29 19:56:55,309:Iteration: 1100, Meta Train Loss 0.0008267277832718292
trainer_bp.py:2022-04-29 19:57:04,584:Iteration: 1100, val loss 0.001511536833675805
trainer_bp.py:2022-04-29 19:59:52,688:Iteration: 1200, Meta Train Loss 0.0008382750674019405
trainer_bp.py:2022-04-29 20:00:01,916:Iteration: 1200, val loss 0.001501484278915933
trainer_bp.py:2022-04-29 20:02:50,611:Iteration: 1300, Meta Train Loss 0.0007741828409419337
trainer_bp.py:2022-04-29 20:02:59,788:Iteration: 1300, val loss 0.001482951312178347
trainer_bp.py:2022-04-29 20:05:47,212:Iteration: 1400, Meta Train Loss 0.0008903202545680315
trainer_bp.py:2022-04-29 20:05:56,894:Iteration: 1400, val loss 0.0015525620928733073
trainer_bp.py:2022-04-29 20:08:45,293:Iteration: 1500, Meta Train Loss 0.0009371595866853239
trainer_bp.py:2022-04-29 20:08:54,497:Iteration: 1500, val loss 0.0015104623829696748
trainer_bp.py:2022-04-29 20:11:42,503:Iteration: 1600, Meta Train Loss 0.0011212949629512232
trainer_bp.py:2022-04-29 20:11:51,724:Iteration: 1600, val loss 0.001538354412984936
trainer_bp.py:2022-04-29 20:14:40,291:Iteration: 1700, Meta Train Loss 0.00044994177196313706
trainer_bp.py:2022-04-29 20:14:49,474:Iteration: 1700, val loss 0.0016681775999949134
trainer_bp.py:2022-04-29 20:17:38,095:Iteration: 1800, Meta Train Loss 0.0007313320220652479
trainer_bp.py:2022-04-29 20:17:47,286:Iteration: 1800, val loss 0.0014507238932123382
trainer_bp.py:2022-04-29 20:19:13,128:Epoch:  7
trainer_bp.py:2022-04-29 20:19:13,129:Early stop at epoch: 6
trainer_bp.py:2022-04-29 20:19:13,130:Early stop loss: 0.0014161724917200592, val loss: 0.0014507238932123382
trainer_bp.py:2022-04-29 20:19:13,138:-------start-baseline-------
data_utils.py:2022-04-29 20:19:16,550:# all trajectories: 24694
trainer_bp.py:2022-04-29 20:19:16,557:Using 18520 instances for training
trainer_bp.py:2022-04-29 20:19:16,557:Using 6174 instances for validation
trainer_bp.py:2022-04-29 20:19:16,559:Epoch:  0
trainer_bp.py:2022-04-29 20:19:16,639:iteration: 0, baseline train loss 0.05866398000488771
trainer_bp.py:2022-04-29 20:19:25,841:Iteration: 0, baseline val loss 0.05855437390214362
trainer_bp.py:2022-04-29 20:19:30,938:iteration: 100, baseline train loss 0.002671474026595268
trainer_bp.py:2022-04-29 20:19:40,105:Iteration: 100, baseline val loss 0.0029705939173845252
trainer_bp.py:2022-04-29 20:19:45,286:iteration: 200, baseline train loss 0.002296069358053331
trainer_bp.py:2022-04-29 20:19:54,454:Iteration: 200, baseline val loss 0.002270810068937849
trainer_bp.py:2022-04-29 20:19:59,571:iteration: 300, baseline train loss 0.002059825172119487
trainer_bp.py:2022-04-29 20:20:08,590:Iteration: 300, baseline val loss 0.0020389502434867124
trainer_bp.py:2022-04-29 20:20:13,634:iteration: 400, baseline train loss 0.002308553713843733
trainer_bp.py:2022-04-29 20:20:22,816:Iteration: 400, baseline val loss 0.00189548178985092
trainer_bp.py:2022-04-29 20:20:27,976:iteration: 500, baseline train loss 0.0017023011219641237
trainer_bp.py:2022-04-29 20:20:37,222:Iteration: 500, baseline val loss 0.0017796370227685598
trainer_bp.py:2022-04-29 20:20:41,278:Epoch:  1
trainer_bp.py:2022-04-29 20:20:41,345:iteration: 0, baseline train loss 0.0011806681542624361
trainer_bp.py:2022-04-29 20:20:50,549:Iteration: 0, baseline val loss 0.0016959493801856286
trainer_bp.py:2022-04-29 20:20:55,729:iteration: 100, baseline train loss 0.0014053673243523061
trainer_bp.py:2022-04-29 20:21:04,909:Iteration: 100, baseline val loss 0.0015905374500259537
trainer_bp.py:2022-04-29 20:21:10,001:iteration: 200, baseline train loss 0.001251616183637489
trainer_bp.py:2022-04-29 20:21:19,198:Iteration: 200, baseline val loss 0.0014326835357315049
trainer_bp.py:2022-04-29 20:21:24,315:iteration: 300, baseline train loss 0.0012899651307014934
trainer_bp.py:2022-04-29 20:21:33,503:Iteration: 300, baseline val loss 0.0012845809229929462
trainer_bp.py:2022-04-29 20:21:38,644:iteration: 400, baseline train loss 0.0008987947776704764
trainer_bp.py:2022-04-29 20:21:47,810:Iteration: 400, baseline val loss 0.0012624039050284325
trainer_bp.py:2022-04-29 20:21:52,890:iteration: 500, baseline train loss 0.001420086440318795
trainer_bp.py:2022-04-29 20:22:01,998:Iteration: 500, baseline val loss 0.0012663651764542546
trainer_bp.py:2022-04-29 20:22:05,936:Epoch:  2
trainer_bp.py:2022-04-29 20:22:06,004:iteration: 0, baseline train loss 0.001238197391248042
trainer_bp.py:2022-04-29 20:22:15,206:Iteration: 0, baseline val loss 0.0012902571145222337
trainer_bp.py:2022-04-29 20:22:20,391:iteration: 100, baseline train loss 0.001005975697632171
trainer_bp.py:2022-04-29 20:22:29,600:Iteration: 100, baseline val loss 0.0012430491458844694
trainer_bp.py:2022-04-29 20:22:34,743:iteration: 200, baseline train loss 0.002031264787521759
trainer_bp.py:2022-04-29 20:22:44,798:Iteration: 200, baseline val loss 0.001284221146284003
trainer_bp.py:2022-04-29 20:22:49,893:iteration: 300, baseline train loss 0.0020669141219581614
trainer_bp.py:2022-04-29 20:22:59,091:Iteration: 300, baseline val loss 0.0012432670520147178
trainer_bp.py:2022-04-29 20:23:04,164:iteration: 400, baseline train loss 0.0011354764615878093
trainer_bp.py:2022-04-29 20:23:13,371:Iteration: 400, baseline val loss 0.0012433598150879026
trainer_bp.py:2022-04-29 20:23:18,490:iteration: 500, baseline train loss 0.0009411488035565385
trainer_bp.py:2022-04-29 20:23:27,747:Iteration: 500, baseline val loss 0.0012549333625841328
trainer_bp.py:2022-04-29 20:23:31,708:Epoch:  3
trainer_bp.py:2022-04-29 20:23:31,709:saving model for the first time!
trainer_bp.py:2022-04-29 20:23:31,780:iteration: 0, baseline train loss 0.0012453434847322403
trainer_bp.py:2022-04-29 20:23:40,961:Iteration: 0, baseline val loss 0.0012422020125221053
trainer_bp.py:2022-04-29 20:23:46,091:iteration: 100, baseline train loss 0.0011312097775185719
trainer_bp.py:2022-04-29 20:23:55,334:Iteration: 100, baseline val loss 0.0012313211294942474
